n_hidden1,lr,report_every,epochs,avg_loss,avg_f1,model
16,0.005,100,5000,0.3956782579421997,0.2145356655120849,full_model
16,0.01,100,5000,0.3959332764148712,0.2146366477012634,full_model
16,0.05,100,5000,0.396089082956314,0.2152435183525085,full_model
24,0.005,100,5000,0.3952567756175995,0.2146227955818176,full_model
24,0.01,100,5000,0.3954184472560882,0.2145350694656372,full_model
24,0.05,100,5000,0.3956624805927277,0.2142482995986938,full_model
32,0.005,100,5000,0.3948749423027038,0.214307963848114,full_model
32,0.01,100,5000,0.3949612021446228,0.2143635272979736,full_model
32,0.05,100,5000,0.3951723873615265,0.21411662101745604,full_model
