n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.3778594613075256,0.6348621129989624,full_model
16,0.005,1500,500,0.3828701496124267,0.6310078263282776,full_model
16,0.01,1000,500,0.3866258680820465,0.6354085683822632,full_model
16,0.01,1500,500,0.3888987839221954,0.6543303728103638,full_model
16,0.05,1000,500,0.5184323072433472,0.6300747513771057,full_model
16,0.05,1500,500,0.5820224523544312,0.6265276432037353,full_model
24,0.005,1000,500,0.4038045227527618,0.6798763513565064,full_model
24,0.005,1500,500,0.4217156648635864,0.6743737578392028,full_model
24,0.01,1000,500,0.4574341118335724,0.6813208937644959,full_model
24,0.01,1500,500,0.4959833860397339,0.674192202091217,full_model
24,0.05,1000,500,0.8434729695320129,0.6272461891174317,full_model
24,0.05,1500,500,1.0740211725234985,0.6334825277328491,full_model
32,0.005,1000,500,0.4585356593132019,0.6579650282859802,full_model
32,0.005,1500,500,0.518025916814804,0.6417380213737488,full_model
32,0.01,1000,500,0.4879217505455017,0.6373722910881042,full_model
32,0.01,1500,500,0.5231300950050354,0.6298647165298462,full_model
32,0.05,1000,500,0.9163943648338316,0.650200629234314,full_model
32,0.05,1500,500,1.1049474000930786,0.657426393032074,full_model
